City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
180,cidreira,BR,80.02,clear sky,-30.1811,-50.2056,Hotel Castelo
181,sembakung,ID,75.31,overcast clouds,3.8167,117.25,
182,kununurra,AU,76.98,clear sky,-15.7667,128.7333,Hotel Kununurra
183,dwarka,IN,81.99,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
184,santa rosa,PH,76.98,moderate rain,14.3122,121.1114,Erlyn’s Sta Rosa City Home
189,umm lajj,SA,81.37,scattered clouds,25.0213,37.2685,Moon light Furnished Units
190,padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
196,vila velha,BR,85.95,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
199,caravelas,BR,83.89,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
202,georgetown,MY,82.24,light rain,5.4112,100.3354,Cititel Penang
206,kupang,ID,78.64,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
209,makakilo city,US,76.69,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
212,pochutla,MX,87.82,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
214,tiarei,PF,78.82,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
216,nuevo progreso,MX,78.48,broken clouds,23.1667,-97.95,Balneario Rio el Paraiso
217,alofi,NU,73.29,overcast clouds,-19.0595,-169.9187,Taloa Heights
222,takoradi,GH,80.71,light rain,4.8845,-1.7554,Raybow International Hotel
228,les cayes,HT,88.3,overcast clouds,18.2,-73.75,Villa Orphee
230,alice springs,AU,74.75,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
233,nata,PA,84.07,light rain,8.3333,-80.5167,Rey David
234,olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
237,chuy,UY,82.96,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
244,ixtapa,MX,82.22,clear sky,20.7,-105.2,hotel la terminal
251,iranshahr,IR,82.74,clear sky,27.2025,60.6848,نیک سرشت
252,saint-francois,FR,72.84,clear sky,46.4154,3.9054,Maison Vin d'Hus
257,namibe,AO,75.83,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
259,mazatlan,MX,84.16,clear sky,23.2167,-106.4167,Hotel La Siesta
265,las palmas,ES,74.19,clear sky,28.4204,-14.0131,Casillas De Morales 59.
266,jalingo,NG,83.75,broken clouds,8.8833,11.3667,Debright Motel
267,kudahuvadhoo,MV,81.09,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
272,ambulu,ID,75.07,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
274,vanimo,PG,77.11,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
275,kavieng,PG,82.45,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
278,gwadar,PK,78.96,clear sky,25.1216,62.3254,Sadaf Resort
280,noumea,NC,77.0,clear sky,-22.2763,166.4572,Hôtel Le Lagon
281,oistins,BB,82.49,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
282,oranjestad,AW,86.92,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
283,itarema,BR,88.45,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
284,bengkulu,ID,75.43,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
287,tierra blanca,HN,80.26,overcast clouds,14.5833,-88.5833,Guancascos´Hotel & Restaurant
288,malandag,PH,73.87,overcast clouds,6.3094,125.2428,Princess
292,caraballeda,VE,86.07,overcast clouds,10.6112,-66.8522,Ole Caribe
295,kilindoni,TZ,77.81,broken clouds,-7.9139,39.6668,Bustani B&B
297,jatai,BR,89.31,overcast clouds,-17.8814,-51.7144,Hotel Califórnia
