City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
108,mier,MX,26.4333,-99.15,71.01,42,0,16.2,clear sky
109,tefe,BR,-3.3542,-64.7114,87.91,74,40,9.22,light rain
110,vaini,TO,-21.2,-175.2,69.96,94,40,3.44,scattered clouds
111,kodiak,US,57.79,-152.4072,36.91,93,100,8.05,moderate rain
112,strezhevoy,RU,60.7333,77.5889,20.53,89,24,5.75,few clouds
113,vardo,NO,70.3705,31.1107,39.18,93,100,21.85,light rain
114,stornoway,GB,58.2093,-6.3865,55.36,85,79,13.8,broken clouds
115,ariquemes,BR,-9.9133,-63.0408,82.4,72,97,5.53,overcast clouds
116,cape town,ZA,-33.9258,18.4232,67.87,70,100,11.01,overcast clouds
117,shihezi,CN,44.3,86.0333,39.94,50,45,6.64,scattered clouds
118,sur,OM,22.5667,59.5289,77.49,74,0,7.76,clear sky
119,ostrovnoy,RU,68.0531,39.5131,39.99,96,100,22.19,light rain
120,ayr,GB,55.4627,-4.6339,55.38,94,100,14.97,overcast clouds
121,maniitsoq,GL,65.4167,-52.9,31.91,69,100,25.32,overcast clouds
122,davila,PH,18.4726,120.5763,78.76,91,100,38.72,heavy intensity rain
123,dingle,PH,10.9995,122.6711,77.56,90,100,17.87,overcast clouds
124,clyde river,CA,70.4692,-68.5914,12.43,79,100,3.44,snow
125,bambous virieux,MU,-20.3428,57.7575,73.65,78,75,3.44,broken clouds
126,urgut,UZ,39.4022,67.2431,53.22,50,77,2.57,broken clouds
127,tiksi,RU,71.6872,128.8694,5.83,90,95,7.63,overcast clouds
128,arraial do cabo,BR,-22.9661,-42.0278,89.56,74,0,12.66,clear sky
129,chizhou,CN,30.6578,117.4831,56.48,70,5,6.06,clear sky
130,goksun,TR,38.021,36.4973,49.05,33,1,4.61,clear sky
131,preobrazheniye,RU,42.9019,133.9064,38.64,54,0,6.17,clear sky
132,isla vista,US,34.4133,-119.861,79.34,57,0,4.61,clear sky
133,markivka,UA,49.5229,39.5705,46.69,86,100,11.39,overcast clouds
134,barrow,US,71.2906,-156.7887,23.02,86,100,25.32,light snow
135,tasiilaq,GL,65.6145,-37.6368,35.76,98,100,15.93,moderate rain
136,sorong,ID,-0.8833,131.25,80.65,84,99,9.44,overcast clouds
137,tongren,CN,27.7172,109.1853,58.41,94,100,3.15,overcast clouds
138,lipno,PL,52.8444,19.1785,57.22,86,100,1.99,overcast clouds
139,dhari,IN,21.3333,71.0167,75.79,43,0,3.96,clear sky
140,ancud,CL,-41.8697,-73.8203,49.89,55,75,18.88,light rain
141,charyshskoye,RU,51.3978,83.5598,27.61,62,41,2.48,scattered clouds
142,cherskiy,RU,68.75,161.3,-1.82,98,100,4.92,overcast clouds
143,aklavik,CA,68.2191,-135.0107,12.2,92,100,3.44,light snow
144,jambi,ID,-1.6,103.6167,74.75,97,98,1.74,light rain
145,tabou,CI,4.423,-7.3528,80.64,80,72,6.35,light rain
146,arteaga,MX,18.4667,-102.4167,72.12,79,77,1.72,broken clouds
147,rovaniemi,FI,66.5,25.7167,36.81,93,100,17.27,overcast clouds
148,zeya,RU,53.75,127.2667,27.97,62,92,2.71,overcast clouds
149,coxim,BR,-18.5067,-54.76,90.57,44,98,7.11,overcast clouds
150,oum hadjer,TD,13.2954,19.6966,91.94,16,52,5.75,broken clouds
151,grand-santi,GF,4.25,-54.3833,82.74,86,83,4.36,light rain
152,luderitz,NA,-26.6481,15.1594,61.16,85,48,10.18,scattered clouds
153,boa vista,BR,2.8197,-60.6733,89.58,55,40,9.22,scattered clouds
154,upernavik,GL,72.7868,-56.1549,16.07,67,61,17.02,broken clouds
155,puerto ayora,EC,-0.7393,-90.3518,75.16,91,93,7.0,overcast clouds
156,chapais,CA,49.7834,-74.8492,51.58,54,73,13.96,broken clouds
157,buenos aires,AR,-34.6132,-58.3772,85.89,37,0,9.22,clear sky
158,cayenne,GF,4.9333,-52.3333,75.24,94,75,2.3,broken clouds
159,graham,US,47.0529,-122.2943,49.66,91,0,5.75,fog
160,khandyga,RU,62.6667,135.6,-8.93,100,98,2.35,overcast clouds
161,flin flon,CA,54.7682,-101.865,39.04,65,75,9.22,broken clouds
162,lorengau,PG,-2.0226,147.2712,81.72,78,100,6.78,overcast clouds
163,ilulissat,GL,69.2167,-51.1,33.82,86,75,8.05,broken clouds
164,mersing,MY,2.4312,103.8405,76.91,88,40,3.44,heavy intensity rain
165,nouakchott,MR,18.0858,-15.9785,102.13,24,100,12.37,overcast clouds
166,severo-kurilsk,RU,50.6789,156.125,37.89,75,70,6.35,broken clouds
167,poum,NC,-20.2333,164.0167,78.01,77,0,4.97,clear sky
168,srednekolymsk,RU,67.45,153.6833,-14.26,100,90,3.94,overcast clouds
169,flinders,AU,-34.5833,150.8552,54.25,72,0,8.03,clear sky
170,vichuga,RU,57.2128,41.9301,44.92,98,100,9.13,overcast clouds
171,kristiinankaupunki,FI,62.2743,21.376,45.34,65,39,27.16,scattered clouds
172,yar-sale,RU,66.8333,70.8333,19.98,88,93,12.21,overcast clouds
173,lukulu,ZM,-14.3707,23.242,83.05,30,80,5.61,broken clouds
174,aswan,EG,24.0934,32.907,81.43,24,21,9.98,few clouds
